Symbol,Period Ended,Quarter,Total Income,Total Expenses,Net Profit Loss from the Period,EPS,Price to earnings ratio,Number of shares,Market Cap,Price to sales ratio,Earnings Growth,PROJECTED EARNINGS GROWTH (PEG),Share Price,Share price change,Classification
IOC,31-Mar-08,Fourth Quarter,7179282,7197000,-41427,-3.48,-8.2,1168248998,18690402164,2603.38,-119.85,0.07,15.998646,-43.95,Bad
IOC,30-Jun-08,First Quarter,8914857,8811198,41513,3.48,4.6,1192348351,14227237646,1595.9,-200,-0.02,11.932115,-25.42,Bad
IOC,30-Sep-08,Second Quarter,7491092,9303277,-704713,-59.1,-0.2,1192348351,17408355083,2323.87,-1798.28,0,14.600058,22.36,Good
IOC,31-Dec-08,Third Quarter,7053406,6787848,295859,24.81,0.59,1192348351,20308353742,2879.23,-141.98,0,17.032232,16.66,Good
IOC,31-Mar-09,Fourth Quarter,5993773,5178363,662296,54.56,0.31,1192348351,18487276528,3084.41,119.91,0,15.504929,-8.97,Bad
IOC,30-Jun-09,First Quarter,5917959,5494040,368283,30.34,0.51,1213939213,25813550602,4361.9,-44.39,-0.01,21.264286,37.15,Good
IOC,30-Sep-09,Second Quarter,6096970,6113643,28436,2.34,9.09,1213939213,33028367663,5417.18,-92.29,-0.1,27.207596,27.95,Good
IOC,31-Dec-09,Third Quarter,6592728,7016216,69659,2.87,9.48,2427878425,66118102381,10028.94,22.65,0.42,27.232872,0.09,Bad
IOC,31-Mar-10,Fourth Quarter,6788762,7081841,555677,22.89,1.19,2427878425,63924247157,9416.19,697.56,0,26.329262,-3.32,Bad
IOC,30-Jun-10,First Quarter,7192448,7562473,-338839,-13.96,-1.89,2427878425,87127172925,12113.7,-160.99,0.01,35.886135,36.3,Good
IOC,30-Sep-10,Second Quarter,7011580,7156350,529395,21.8,1.65,2427878425,90088334846,12848.51,-256.16,-0.01,37.105785,3.4,Bad
IOC,31-Dec-10,Third Quarter,7645488,7878338,163476,6.73,5.51,2427878425,84288847085,11024.65,-69.13,-0.08,34.717079,-6.44,Bad
IOC,31-Mar-11,Fourth Quarter,8778021,9415648,390516,16.08,2.16,2427878425,81937915411,9334.44,138.93,0.02,33.748772,-2.79,Bad
IOC,30-Jun-11,First Quarter,9308366,10436984,-371870,-15.32,-2.2,2427878425,82922599775,8908.39,-195.27,0.01,34.154346,1.2,Bad
IOC,30-Sep-11,Second Quarter,8918513,9577115,-748555,-30.83,-1.11,2427878425,76669880525,8596.71,101.24,-0.01,31.578962,-7.54,Bad
IOC,31-Dec-11,Third Quarter,9921796,10576755,248844,10.25,3.08,2427878425,70875736524,7143.44,-133.25,-0.02,29.192457,-7.56,Bad
IOC,31-Mar-12,Fourth Quarter,12844396,11479185,1267043,52.19,0.56,2427878425,73375596689,5712.65,409.17,0,30.222105,3.53,Bad
IOC,30-Jun-12,First Quarter,9689666,105942,-2245095,-92.47,-0.33,2427878425,71434369499,7372.22,-277.18,0,29.422548,-2.65,Bad
IOC,30-Sep-12,Second Quarter,10600121,9572609,961135,39.59,0.74,2427878425,69967977060,6600.68,-142.81,-0.01,28.818567,-2.05,Bad
IOC,31-Dec-12,Third Quarter,11551751,11146988,333196,13.72,2.1,2427878425,82119107978,7108.8,-65.34,-0.03,33.823402,17.37,Good
IOC,31-Mar-13,Fourth Quarter,12868103,11324199,1451281,59.77,0.57,2427878425,85678924021,6658.24,335.64,0,35.289627,4.33,Bad
IOC,30-Jun-13,First Quarter,11046661,11301833,-309323,-12.74,-2.77,2427878425,71424446760,6465.7,-121.32,0.02,29.418461,-16.64,Bad
IOC,30-Sep-13,Second Quarter,11039024,10817134,168392,6.94,4.24,2427878425,71656088213,6491.16,-154.47,-0.03,29.51387,0.32,Bad
IOC,31-Dec-13,Third Quarter,11767195,11946707,-96145,-3.96,-7.45,2427878425,73827995415,6274.05,-157.06,0.05,30.40844,3.03,Bad
IOC,31-Mar-14,Fourth Quarter,13486742,12270751,938985,38.67,0.79,2427575310,97086427214,7198.66,-1076.52,0,39.993168,31.52,Good
IOC,30-Jun-14,First Quarter,12495669,12275499,252294,10.39,3.85,2427575310,1.18786E+11,9506.15,-73.13,-0.05,48.931828,22.35,Good
IOC,30-Sep-14,Second Quarter,11166381,11275001,-89846,-3.7,-13.22,2427575310,1.38961E+11,12444.56,-135.61,0.1,57.242607,16.98,Good
IOC,31-Dec-14,Third Quarter,10707360,11077173,-263680,-10.86,-5.27,2427575310,1.274E+11,11898.34,193.51,-0.03,52.480278,-8.32,Bad
IOC,31-Mar-15,Fourth Quarter,9383203,8563098,628535,25.89,2.03,2427575310,1.41357E+11,15064.93,-338.4,-0.01,58.229824,10.96,Good
IOC,30-Jun-15,First Quarter,10130682,9234969,643570,26.51,2.2,2427575310,1.4778E+11,14587.37,2.39,0.92,60.875549,4.54,Bad
IOC,30-Sep-15,Second Quarter,8538481,8581852,-32917,-1.36,-44.76,2427715267,1.54231E+11,18063.02,-105.13,0.43,63.529186,4.36,Bad
IOC,31-Dec-15,Third Quarter,8346189,7938914,305686,12.59,5.05,2427715267,1.75955E+11,21082.03,-1025.74,0,72.477455,14.09,Good
IOC,31-Mar-16,Fourth Quarter,8044957,7781671,123564,5.09,14.24,2427715267,1.71581E+11,21327.8,-59.57,-0.24,70.67601,-2.49,Bad
IOC,30-Jun-16,First Quarter,10720065,9495213,826898,34.9,2.03,2427715267,1.92244E+11,17933.12,585.66,0,79.187309,12.04,Good
IOC,30-Sep-16,Second Quarter,10027394,9600653,312189,6.58,12.03,2427715267,2.53928E+11,25323.43,-81.15,-0.15,104.595474,32.09,Good
IOC,31-Dec-16,Third Quarter,11564492,10925043,399491,8.43,12.41,2427715267,3.01186E+11,26044.02,28.12,0.44,124.061424,18.61,Good
IOC,31-Mar-17,Fourth Quarter,12228530,12075978,372062,7.85,15.8,2427715267,3.84893E+11,31475.03,-6.88,-2.3,158.541367,27.79,Good
IOC,30-Jun-17,First Quarter,12819050,12263028,454851,9.6,16.51,2427715267,3.92427E+11,30612.79,22.29,0.74,161.644501,1.96,Bad
IOC,30-Sep-17,Second Quarter,11063707,10573342,369629,7.8,20.72,2427715267,4.08973E+11,36965.3,-18.75,-1.11,168.460129,4.22,Bad
IOC,31-Dec-17,Third Quarter,13086511,11996635,788322,16.63,10.13,2427715267,3.9677E+11,30319.04,113.21,0.09,163.43367,-2.98,Bad
IOC,31-Mar-18,Fourth Quarter,13698073,12894788,521810,5.51,29.66,2427715267,3.78437E+11,27627.05,-66.87,-0.44,155.882095,-4.62,Bad
IOC,30-Jun-18,First Quarter,15033200,13999000,683100,7.21,21.62,2427715267,3.34293E+11,22237.01,30.85,0.7,137.698792,-11.66,Bad
IOC,30-Sep-18,Second Quarter,15260800,14780200,324700,3.43,40.15,2427715267,3.32786E+11,21806.61,-52.43,-0.77,137.078003,-0.45,Bad
IOC,31-Dec-18,Third Quarter,16058100,15923600,71700,0.76,180.37,2427715267,2.97414E+11,18521.09,-77.84,-2.32,122.507584,-10.63,Bad
IOC,31-Mar-19,Fourth Quarter,14553200,13689800,609900,6.46,18.96,2427715267,3.70309E+11,25445.16,750,0.03,152.533768,24.51,Good
IOC,30-Jun-19,First Quarter,15076700,14538800,359600,3.92,38.91,2427715267,3.57822E+11,23733.45,-39.32,-0.99,147.390457,-3.37,Bad
IOC,30-Sep-19,Second Quarter,13302400,13221000,56300,0.61,241.62,2427715267,3.41059E+11,25638.9,-84.44,-2.86,140.485535,-4.68,Bad
IOC,31-Dec-19,Third Quarter,14539000,14166800,233900,2.55,55.09,2427715267,2.90502E+11,19980.86,318.03,0.17,119.660515,-14.82,Bad
IOC,31-Mar-20,Fourth Quarter,14134100,14364700,-518500,-5.65,-21.18,2427715267,1.88924E+11,13366.57,-321.57,0.07,77.819839,-34.97,Bad
INDUSINDBK,30-Sep-07,Second Quarter,52547,47757,2234,0.7,69.68,319787494,21641246428,411845.52,NA,NA,67.673836,38.75,Good
INDUSINDBK,31-Dec-07,Third Quarter,56613,50117,2504,0.78,86.76,319787494,36913160939,652026.23,11.43,7.59,115.430283,70.57,Good
INDUSINDBK,31-Mar-08,Fourth Quarter,59104,53977,1445,0.45,256.51,290296609,20670466435,349730.41,-42.31,-6.06,71.204643,-38.31,Bad
INDUSINDBK,30-Jun-08,First Quarter,58323,53736,1910,0.59,120.69,290296609,14205194299,243560.76,31.11,3.88,48.93338,-31.28,Bad
INDUSINDBK,30-Sep-08,Second Quarter,63882,57173,3366,0.95,51.51,354981869,17989575209,281606.32,61.02,0.84,50.677448,3.56,Bad
INDUSINDBK,31-Dec-08,Third Quarter,76055,65655,4506,1.27,39.9,354981869,12300862964,161736.41,33.68,1.18,34.652088,-31.62,Bad
INDUSINDBK,31-Mar-09,Fourth Quarter,78312,63183,5052,1.42,24.4,354981869,10515517152,134277.21,11.81,2.07,29.622688,-14.51,Bad
INDUSINDBK,30-Jun-09,First Quarter,80158,62727,8650,2.44,12.14,354981869,28172412228,351461.02,71.83,0.17,79.362961,167.91,Good
INDUSINDBK,30-Sep-09,Second Quarter,78738,63206,7782,2.05,38.71,409893517,44366376228,563468.42,-15.98,-2.42,108.238785,36.38,Good
INDUSINDBK,31-Dec-09,Third Quarter,81894,64516,8804,2.15,50.34,409957141,55063532011,672375.66,4.88,10.32,134.315338,24.09,Good
INDUSINDBK,31-Mar-10,Fourth Quarter,85257,65209,9796,2.34,57.4,410451826,65371975195,766763.73,8.84,6.5,159.268326,18.58,Good
INDUSINDBK,30-Jun-10,First Quarter,93250,70189,11855,2.81,56.68,410881100,78963139162,846789.7,20.09,2.82,192.180023,20.66,Good
INDUSINDBK,30-Sep-10,Second Quarter,102920,76735,13315,3.12,61.6,461216888,1.15926E+11,1126368.92,11.03,5.58,251.347885,30.79,Good
INDUSINDBK,31-Dec-10,Third Quarter,111086,81968,15386,3.25,77.34,464885554,1.16387E+11,1047715.85,4.17,18.56,250.355301,-0.39,Bad
INDUSINDBK,31-Mar-11,Fourth Quarter,123047,93244,17176,3.62,69.16,465789027,1.16062E+11,943236.32,11.38,6.07,249.173752,-0.47,Bad
INDUSINDBK,30-Jun-11,First Quarter,137998,106826,18018,3.78,65.92,465973656,1.19808E+11,868189.29,4.42,14.91,257.114075,3.19,Bad
INDUSINDBK,30-Sep-11,Second Quarter,156307,123009,19309,4.06,63.33,466537281,1.165E+11,745331.04,7.41,8.55,249.713074,-2.88,Bad
INDUSINDBK,31-Dec-11,Third Quarter,165486,130562,20596,4.33,57.67,466748062,1.00376E+11,606550.73,6.65,8.67,215.053177,-13.88,Bad
INDUSINDBK,31-Mar-12,Fourth Quarter,177307,139398,22338,4.69,45.85,467482018,1.43177E+11,807510.76,8.31,5.52,306.273407,42.42,Good
INDUSINDBK,30-Jun-12,First Quarter,195082,154679,23626,4.96,61.75,468711622,1.51855E+11,778417.13,5.76,10.73,323.984222,5.78,Bad
INDUSINDBK,30-Sep-12,Second Quarter,204842,162860,25025,5.23,61.95,469527096,1.59865E+11,780430.17,5.44,11.38,340.480621,5.09,Bad
INDUSINDBK,31-Dec-12,Third Quarter,215629,168413,26727,5.4,63.05,522029641,2.08632E+11,967549.76,3.25,19.4,399.65506,17.38,Good
INDUSINDBK,31-Mar-13,Fourth Quarter,219066,164721,30740,5.78,69.14,522698291,2.02713E+11,925351.04,7.04,9.83,387.82019,-2.96,Bad
INDUSINDBK,30-Jun-13,First Quarter,238281,174121,33484,6.29,61.66,523250880,2.34392E+11,983677.77,8.82,6.99,447.95285,15.51,Good
INDUSINDBK,30-Sep-13,Second Quarter,243530,184738,33023,6.19,72.37,524115202,1.86366E+11,765269.61,-1.59,-45.52,355.582336,-20.62,Bad
INDUSINDBK,31-Dec-13,Third Quarter,262376,197640,34690,6.5,54.7,524347555,2.12716E+11,810729.21,5.01,10.92,405.677277,14.09,Good
INDUSINDBK,31-Mar-14,Fourth Quarter,270219,198311,39605,7.42,54.67,525470574,2.54291E+11,941054.1,14.15,3.86,483.929474,19.29,Good
INDUSINDBK,30-Jun-14,First Quarter,287368,212448,42106,7.88,61.41,526179314,2.82692E+11,983729.37,6.2,9.91,537.254761,11.02,Good
INDUSINDBK,30-Sep-14,Second Quarter,293703,221236,43020,8.02,66.99,528094654,3.18594E+11,1084749.27,1.78,37.71,603.289795,12.29,Good
INDUSINDBK,31-Dec-14,Third Quarter,304770,227386,44719,8.3,72.69,528520895,4.11652E+11,1350696.62,3.49,20.82,778.875183,29.1,Good
INDUSINDBK,31-Mar-15,Fourth Quarter,323743,238692,49527,9.2,84.66,528520895,4.54512E+11,1403929.83,10.84,7.81,859.970642,10.41,Good
INDUSINDBK,30-Jun-15,First Quarter,344784,252512,52504,9.74,88.29,531183796,4.49945E+11,1305006.2,5.87,15.04,847.06134,-1.5,Bad
INDUSINDBK,30-Sep-15,Second Quarter,358131,257478,56004,9.4,90.11,592196029,5.46519E+11,1526029.99,-3.49,-25.81,922.867798,8.95,Bad
INDUSINDBK,31-Dec-15,Third Quarter,376670,270572,58102,9.68,95.34,592196029,5.61886E+11,1491718.95,2.98,32.01,948.8172,2.81,Bad
INDUSINDBK,31-Mar-16,Fourth Quarter,404449,289330,62035,10.33,91.85,592196029,5.61103E+11,1387326.75,6.71,13.68,947.495239,-0.14,Bad
INDUSINDBK,30-Jun-16,First Quarter,426466,303087,66138,10.64,89.05,592196029,6.44607E+11,1511509.14,3,29.67,1088.503174,14.88,Good
INDUSINDBK,30-Sep-16,Second Quarter,443972,315807,70426,11.69,93.11,592196029,6.96394E+11,1568553.33,9.87,9.44,1175.951416,8.03,Bad
INDUSINDBK,31-Dec-16,Third Quarter,471613,335279,75064,12.46,94.38,592196029,6.45123E+11,1367907.37,6.59,14.33,1089.373901,-7.36,Bad
INDUSINDBK,31-Mar-17,Fourth Quarter,504131,346908,75161,12.45,87.5,592196029,8.29855E+11,1646110.75,-0.08,-1090.25,1401.318848,28.64,Good
INDUSINDBK,30-Jun-17,First Quarter,530277,371424,83655,13.86,101.11,592196029,8.61183E+11,1624024.4,11.33,8.93,1454.219116,3.78,Bad
INDUSINDBK,30-Sep-17,Second Quarter,539592,376242,88010,14.54,100.02,592196029,9.83265E+11,1822238.76,4.91,20.39,1660.371582,14.18,Good
INDUSINDBK,31-Dec-17,Third Quarter,547354,380885,93625,15.47,107.33,592196029,9.63801E+11,1760837.19,6.4,16.78,1627.503784,-1.98,Bad
INDUSINDBK,31-Mar-18,Fourth Quarter,585862,408923,95309,15.73,103.46,592196029,1.05022E+12,1792608.5,1.68,61.56,1773.435059,8.97,Bad
INDUSINDBK,30-Jun-18,First Quarter,636975,445862,103572,17.08,103.83,592196029,1.12939E+12,1773057.61,8.58,12.1,1907.127563,7.54,Bad
INDUSINDBK,30-Sep-18,Second Quarter,675537,476293,92025,15.17,125.72,592196029,9.95578E+11,1473758.39,-11.18,-11.24,1681.163452,-11.85,Bad
INDUSINDBK,31-Dec-18,Third Quarter,723232,511536,98503,16.26,103.39,592196029,9.42119E+11,1302651.31,7.19,14.39,1590.890625,-5.37,Bad
INDUSINDBK,31-Mar-19,Fourth Quarter,755043,548274,36010,5.94,267.83,592196029,1.04857E+12,1388750.31,-63.47,-4.22,1770.640381,11.3,Good
INDUSINDBK,30-Jun-19,First Quarter,862462,603366,143250,20.58,86.04,592196029,8.309E+11,963405.15,246.46,0.35,1403.083252,-20.76,Bad
INDUSINDBK,30-Sep-19,Second Quarter,887702,627708,138337,19.89,70.54,592196029,8.19333E+11,922981.86,-3.35,-21.04,1383.550049,-1.39,Bad
INDUSINDBK,31-Dec-19,Third Quarter,907393,632829,130020,18.69,74.03,592196029,8.94216E+11,985478.18,-6.03,-12.27,1510,9.14,Bad
INDUSINDBK,31-Mar-20,Fourth Quarter,915857,632240,30184,4.34,347.93,592196029,2.08038E+11,227151.68,-76.78,-4.53,351.299988,-76.74,Bad
INFY,30-Sep-07,Second Quarter,410600,300600,110000,19.19,7.08,571204393,39141677082,95328,1.97,3.6,68.524818,-49.59,Bad
INFY,31-Dec-07,Third Quarter,427100,304000,123100,21.47,3.19,571555438,37577912513,87983.87,11.88,0.27,65.74675,-4.05,Bad
INFY,31-Mar-08,Fourth Quarter,454200,329300,124900,21.78,3.02,571983763,30594393353,67358.86,1.44,2.09,53.48822,-18.65,Bad
INFY,30-Jun-08,First Quarter,485400,355200,130200,22.7,2.36,572336550,42083508756,86698.62,4.22,0.56,73.529305,37.47,Good
INFY,30-Sep-08,Second Quarter,541800,398600,143200,24.97,2.94,572474632,33883558698,62538.87,10,0.29,59.187878,-19.5,Bad
INFY,31-Dec-08,Third Quarter,578600,414500,164100,28.63,2.07,572648548,28765861952,49716.32,14.66,0.14,50.233013,-15.13,Bad
INFY,31-Mar-09,Fourth Quarter,563500,402200,161300,28.13,1.79,572871578,34154963266,60612.18,-1.75,-1.02,59.620628,18.69,Good
INFY,30-Jun-09,First Quarter,547200,394500,152700,26.63,2.24,573024697,45843470742,83778.27,-5.33,-0.42,80.002609,34.19,Good
INFY,30-Sep-09,Second Quarter,558500,404500,154000,26.83,2.98,573268889,63736743646,114121.3,0.75,3.97,111.181236,38.97,Good
INFY,31-Dec-09,Third Quarter,574100,415900,158200,27.72,4.01,573575788,74563600858,129879.12,3.32,1.21,129.997818,16.92,Good
INFY,31-Mar-10,Fourth Quarter,594400,432700,161700,28.29,4.6,573888957,75030166542,126228.41,2.06,2.23,130.739868,0.57,Bad
INFY,30-Jun-10,First Quarter,575800,432700,143100,24.92,5.25,573907296,84033860976,145942.79,-11.91,-0.44,146.424103,12,Good
INFY,30-Sep-10,Second Quarter,642500,478400,164100,28.58,5.12,574080807,91874749907,142995.72,14.69,0.35,160.03801,9.3,Bad
INFY,31-Dec-10,Third Quarter,653400,489300,164100,28.58,5.6,574203632,1.06534E+11,163046.07,0,NA,185.534012,15.93,Good
INFY,31-Mar-11,Fourth Quarter,666800,493800,173000,30.14,6.16,574165853,1.00294E+11,150410.92,5.46,1.13,174.67775,-5.85,Bad
INFY,30-Jun-11,First Quarter,690500,502200,165400,28.8,6.07,574189583,95541979951,138366.37,-4.45,-1.36,166.394485,-4.74,Bad
INFY,30-Sep-11,Second Quarter,747000,531200,182200,31.73,5.24,574232981,83159259265,111324.31,10.17,0.52,144.817978,-12.97,Bad
INFY,31-Dec-11,Third Quarter,869600,597200,223500,38.92,3.72,574264011,95047370721,109300.1,22.66,0.16,165.511627,14.29,Good
INFY,31-Mar-12,Fourth Quarter,818300,568100,275900,48.05,3.44,574239752,98431296631,120287.54,23.46,0.15,171.411499,3.56,Bad
INFY,30-Jun-12,First Quarter,890900,632100,220400,38.38,4.47,574294480,93158572042,104566.81,-20.12,-0.22,162.213943,-5.37,Bad
INFY,30-Sep-12,Second Quarter,912900,660200,234200,40.78,3.98,574244892,94106572450,103085.3,6.25,0.64,163.878815,1.03,Bad
INFY,31-Dec-12,Third Quarter,939800,682900,226500,39.46,4.15,574265712,90672162151,96480.27,-3.24,-1.28,157.892349,-3.65,Bad
INFY,31-Mar-13,Fourth Quarter,932900,695400,230500,40.14,3.93,574236067,1.12982E+11,121108.08,1.72,2.28,196.751358,24.61,Good
INFY,30-Jun-13,First Quarter,995900,744600,225000,39.19,5.02,574290871,1.07601E+11,108044.31,-2.37,-2.12,187.363815,-4.77,Bad
INFY,30-Sep-13,Second Quarter,1148200,877700,232600,40.5,4.63,574276373,1.29738E+11,112992.19,3.34,1.38,225.914978,20.58,Good
INFY,31-Dec-13,Third Quarter,1153400,841100,273500,47.87,4.72,574285176,1.57609E+11,136646.97,18.2,0.26,274.443115,21.48,Good
INFY,31-Mar-14,Fourth Quarter,1136600,828100,288300,50.44,5.44,574245774,1.48426E+11,130588.08,5.37,1.01,258.471924,-5.82,Bad
INFY,30-Jun-14,First Quarter,1131900,831400,272000,47.6,5.43,574237291,1.65089E+11,145850.83,-5.63,-0.96,287.491882,11.23,Good
INFY,30-Sep-14,Second Quarter,1186300,852700,336500,58.89,4.88,574244495,1.9005E+11,160204.25,23.72,0.21,330.957123,15.12,Good
INFY,31-Dec-14,Third Quarter,1219200,876300,305500,26.73,12.38,1148555454,4.26248E+11,349612.46,-54.61,-0.23,371.11618,12.13,Good
INFY,31-Mar-15,Fourth Quarter,1192600,864700,302400,26.33,14.09,1148391734,4.79294E+11,401890.03,-1.5,-9.42,417.361115,12.46,Good
INFY,30-Jun-15,First Quarter,1435400,55600,420300,13.25,31.5,1148391734,4.25354E+11,296331.67,-49.68,-0.63,370.391449,-11.25,Bad
INFY,30-Sep-15,Second Quarter,1563500,1164200,339900,14.87,24.91,1148391734,5.5005E+11,351807.15,12.23,2.04,478.974609,29.32,Good
INFY,31-Dec-15,Third Quarter,1590200,1194300,346500,15.16,31.59,1148391734,5.32995E+11,335174.62,1.95,16.2,464.122711,-3.1,Bad
INFY,31-Mar-16,Fourth Quarter,1655000,59500,499200,15.74,29.49,1148391734,5.87432E+11,354943.95,3.83,7.71,511.526001,10.21,Good
INFY,30-Jun-16,First Quarter,1678200,74000,480000,15.03,34.03,1148391734,5.64529E+11,336389.53,-4.51,-7.54,491.582184,-3.9,Bad
INFY,30-Sep-16,Second Quarter,1731000,1300100,360900,15.77,31.17,1148391734,5.11326E+11,295393.62,4.92,6.33,445.254303,-9.42,Bad
INFY,31-Dec-16,Third Quarter,1727300,1293900,370800,16.22,27.45,1148391734,5.0958E+11,295015.49,2.85,9.62,443.733826,-0.34,Bad
INFY,31-Mar-17,Fourth Quarter,1492000,1087000,356200,15.51,28.61,1148391734,5.15455E+11,345478.99,-4.38,-6.54,448.849152,1.15,Bad
INFY,30-Jun-17,First Quarter,1707800,1296700,355400,15.23,29.47,1148391734,4.71737E+11,276225.21,-1.81,-16.33,410.780914,-8.48,Bad
INFY,30-Sep-17,Second Quarter,1756700,1332100,372600,16.29,25.22,1148391734,4.67888E+11,266345.08,6.96,3.62,407.42926,-0.82,Bad
INFY,31-Dec-17,Third Quarter,1779400,1347500,512900,22.53,18.08,1148391734,5.49362E+11,308734.15,38.31,0.47,478.374695,17.41,Good
INFY,31-Mar-18,Fourth Quarter,1861700,1361100,369000,16.97,28.19,1148391734,5.96677E+11,320501.22,-24.68,-1.14,519.576294,8.61,Bad
INFY,30-Jun-18,First Quarter,1985400,1486100,361200,16.6,31.3,1148391734,6.89147E+11,347107.23,-2.18,-14.36,600.097229,15.5,Good
INFY,30-Sep-18,Second Quarter,2134800,1571500,411000,9.44,63.57,1148391734,7.75841E+11,363425.39,-43.13,-1.47,675.588745,12.58,Good
INFY,31-Dec-18,Third Quarter,2215300,1702100,361000,8.29,81.49,1148391734,7.07907E+11,319553.54,-12.18,-6.69,616.43335,-8.76,Bad
INFY,31-Mar-19,Fourth Quarter,2220400,1692100,407800,9.36,65.86,1148391734,8.03507E+11,361875.11,12.91,5.1,699.680664,13.5,Good
INFY,30-Jun-19,First Quarter,2253900,1737200,380200,8.82,79.33,1148391734,7.90707E+11,350817.29,-5.77,-13.75,688.534302,-1.59,Bad
INFY,30-Sep-19,Second Quarter,2325500,1775900,403700,9.44,72.94,1148391734,8.82557E+11,379512.97,7.03,10.38,768.515991,11.62,Good
INFY,31-Dec-19,Third Quarter,2391900,1807000,446600,10.5,73.19,1148391734,8.19566E+11,342642.39,11.23,6.52,713.664429,-7.14,Bad
INFY,31-Mar-20,Fourth Quarter,2388100,1838500,433500,10.18,70.1,1148391734,7.19075E+11,301107.65,-3.05,-23,626.158447,-12.26,Bad
ITC,30-Sep-07,Second Quarter,348163,234759,77087,2.04,15.46,3764004778,1.54922E+11,444970.4,-1.92,-8.04,41.158882,30.5,Good
ITC,31-Dec-07,Third Quarter,359539,236801,83072,2.2,18.71,3765805341,1.71043E+11,475728.92,7.84,2.39,45.420059,10.35,Good
ITC,31-Mar-08,Fourth Quarter,409807,301121,73564,1.93,23.53,3768635065,1.68556E+11,411306.71,-12.27,-1.92,44.726105,-1.53,Bad
ITC,30-Jun-08,First Quarter,401405,289869,74867,1.97,22.7,3768590432,1.53476E+11,382348,2.07,10.95,40.725147,-8.95,Bad
ITC,30-Sep-08,Second Quarter,386267,278127,80272,2.12,19.21,3770110949,1.64508E+11,425892.52,7.61,2.52,43.63485,7.14,Bad
ITC,31-Dec-08,Third Quarter,385865,262481,90321,2.39,18.26,3771572470,1.50263E+11,389419.33,12.74,1.43,39.841019,-8.69,Bad
ITC,31-Mar-09,Fourth Quarter,392741,277421,80899,2.14,18.62,3774223782,1.61885E+11,412193.81,-10.46,-1.78,42.892372,7.66,Bad
ITC,30-Jun-09,First Quarter,413292,289718,87870,2.32,18.49,3774220547,1.67052E+11,404198.81,8.41,2.2,44.26136,3.19,Bad
ITC,30-Sep-09,Second Quarter,434528,290355,100991,2.66,16.64,3780319170,2.15801E+11,496632.9,14.66,1.14,57.085365,28.97,Good
ITC,31-Dec-09,Third Quarter,458015,302738,114417,2.99,19.09,3795380124,2.33162E+11,509071.74,12.41,1.54,61.433239,7.62,Bad
ITC,31-Mar-10,Fourth Quarter,513161,366751,102822,2.68,22.92,3818367439,2.46032E+11,479444.15,-10.37,-2.21,64.43383,4.88,Bad
ITC,30-Jun-10,First Quarter,484734,336993,107031,2.77,23.26,3818359356,2.85689E+11,589373.64,3.36,6.93,74.819946,16.12,Good
ITC,30-Sep-10,Second Quarter,514718,343628,124674,1.61,46.47,7677430367,7.03395E+11,1366563.26,-41.88,-1.11,91.618507,22.45,Good
ITC,31-Dec-10,Third Quarter,551374,365255,138908,1.78,51.47,7706025731,6.91558E+11,1254244.46,10.56,4.87,89.74247,-2.05,Bad
ITC,31-Mar-11,Fourth Quarter,595999,421137,128148,1.65,54.39,7738148747,7.24065E+11,1214876.62,-7.3,-7.45,93.570862,4.27,Bad
ITC,30-Jun-11,First Quarter,586018,405054,133272,1.7,55.04,7737871164,8.0694E+11,1376988.36,3.03,18.16,104.284492,11.45,Good
ITC,30-Sep-11,Second Quarter,608522,403636,151431,1.93,54.03,7772968190,8.08238E+11,1328197.72,13.53,3.99,103.980553,-0.29,Bad
ITC,31-Dec-11,Third Quarter,624784,404063,170098,2.16,48.14,7796176877,8.24162E+11,1319114.39,11.92,4.04,105.713554,1.67,Bad
ITC,31-Mar-12,Fourth Quarter,695464,487933,161436,2.04,51.82,7818510702,9.31636E+11,1339589.7,-5.56,-9.33,119.157784,12.72,Good
ITC,30-Jun-12,First Quarter,671307,453952,160214,2.02,58.99,7822599496,1.06358E+12,1584341.68,-0.98,-60.17,135.962433,14.1,Good
ITC,30-Sep-12,Second Quarter,722658,472717,183642,2.31,58.86,7856152215,1.15647E+12,1600304.78,14.36,4.1,147.206039,8.27,Bad
ITC,31-Dec-12,Third Quarter,771210,505956,205185,2.57,57.28,7878343568,1.22105E+12,1583287.88,11.26,5.09,154.987839,5.29,Bad
ITC,31-Mar-13,Fourth Quarter,825740,575777,192798,2.41,64.31,7902045152,1.32144E+12,1600314.02,-6.23,-10.33,167.228012,7.9,Bad
ITC,30-Jun-13,First Quarter,741070,483469,189133,2.36,70.86,7902186246,1.41658E+12,1911532.33,-2.07,-34.15,179.264221,7.2,Bad
ITC,30-Sep-13,Second Quarter,786253,490756,223053,2.78,64.48,7919857766,1.49E+12,1895066.44,17.8,3.62,188.134903,4.95,Bad
ITC,31-Dec-13,Third Quarter,872685,566847,238534,2.97,63.35,7935471434,1.41159E+12,1617520.68,6.83,9.27,177.883072,-5.45,Bad
ITC,31-Mar-14,Fourth Quarter,923852,627296,227801,2.83,62.86,7953079336,1.55098E+12,1678815.09,-4.71,-13.33,195.015869,9.63,Bad
ITC,30-Jun-14,First Quarter,924829,620202,218639,2.72,71.7,7954923521,1.42911E+12,1545272.84,-3.89,-18.45,179.651398,-7.88,Bad
